
节点编号,节点类别type,节点描述describe,对应流出节点序列,各流出节点相关度,
113,0,1号线站厅（下车后换乘）,1113,1,
1113,8,1号线站厅（下车后换乘）控制点,"29,30","0.3,0.7",
114,0,1号线站厅（从10号线换乘1号线）,"32,33,34,35","0.23,0.3,0.29,0.18",
117,0,10号线西站厅（进站后去往东站厅）,130,1,
118,0,10号线西站厅（进站后换乘）,25,1,
119,0,10号线西站厅（进站后乘车）,"9,10,11","0.85,0.14,0.01",
120,0,10号线西站厅（从1号线去往东站厅）,4,1,
121,0,10号线西站厅（从1号线经由站厅出站）,59,1,
122,0,10号线西站厅（1号线换乘10号线）,1122,1,
1122,8,10号线西站厅（1号线换乘10号线）控制点,"9,10,11","0.4,0.4,0.2",
123,0,10号线西站厅（东站厅经由西站厅出站）,59,1,
124,0,10号线西站厅（东站厅经由西站厅换乘）,25,1,
125,0,10号线西站厅（东站厅经由西站厅去往站台）,"9,10,11","0,0.1,0.9",
126,0,10号线西站厅（下车出站）,59,1,
127,0,10号线西站厅（下车换乘）,25,1,
128,0,10号线西站厅（下车去往东站厅）,444,1,
129,0,10东站厅（进站后去往西站厅）,3,1,
130,0,10东站厅（从西站厅经由东站厅乘车）,"12,13,14","0.55,0.43,0.02",
131,0,10东站厅（从西站厅经由东站厅出站）,"60,104","0.9,0.1",
132,0,10东站厅（下车去往西站厅）,3,1,
133,0,10东站厅（进站后乘车）,"12,13,14","0.40,0.3,0.3",
134,0,10东站厅（下车后出站）,"60,104","0.4,0.6",
135,1,10号线去往双井方向站台（站厅来乘车）,75,1,
136,1,10号线去往双井方向站台（去金台夕照方向站台）,"106,108","0.55,0.45",
137,1,10号线去往双井方向站台（下车去站厅）,"15,16,17,21,22","0.1,0.33,0.1,0.25,0.22",
139,1,10号线去往双井方向站台（从金台夕照方向来乘车）,75,1,
140,1,10号线去往金台夕照方向（从站厅来去往双井方向站台）,"105,107","0.55,0.45",
141,1,10号线去往金台夕照方向（站厅来乘车）,76,1,
143,1,10号线去往金台夕照方向（下车去站厅）,"18,19,20,23,24","0.1,0.33,0.1,0.25,0.22",
144,1,10号线去往金台夕照方向（从双井方向来乘车）,76,1,
145,1,10号线去往金台夕照方向（下车去往双井方向站台）,"105,107","0.85,0.15",
